;;;;;;;;;;;;
Прайс-сток;;;;;;;;;;;;
;;;;;;;;;;;;
Артикул;;Штрихкод;;Модель;Наименование;Бренд;Категория;РРЦ;Цена;Остаток Бизнес Контроль;Остаток поставщика;Итого
110007373;;4620016721261;;EVH 640 WHITE;Электрическая варочная поверхность LEX EVH 640 WHITE;Lex;Варочные панели электрические;;;0;0;0
110007370;;4620016723265;;EVH 430 BLACK;Электрическая варочная поверхность LEX EVH 430 BLACK;Lex;Варочные панели электрические;16 990;12 148;0;10;10
110007377;;4620016726846;;EVH 642-1 BLACK;Электрическая варочная поверхность LEX EVH 642-1 BLACK;Lex;Варочные панели электрические;19 990;14 293;0;10;10
110007369;;4620016724330;;EVH 321 BLACK;Электрическая варочная поверхность LEX EVH 321 BLACK;Lex;Варочные панели электрические;11 990;8 573;0;10;10
110007378;;4620016728673;;EVH 642-2 BL;Электрическая варочная поверхность LEX EVH 642-2 BL;Lex;Варочные панели электрические;19 990;14 293;0;10;10
110007372;;4620016721230;;EVH 640 BLACK;Электрическая варочная поверхность LEX EVH 640 BLACK;Lex;Варочные панели электрические;17 990;12 863;0;10;10
110032095;;4620016729441;;EVH 640-0 BL;Электрическая варочная поверхность Lex EVH 640-0 BL;Lex;Варочные панели электрические;16 990;12 148;1;10;11
110007371;;4620016722251;;EVH 431 BLACK;Электрическая варочная поверхность LEX EVH 431 BLACK;Lex;Варочные панели электрические;17 990;12 863;0;0;0
110007380;;4620016726853;;EVI 320-2 BLACK;Электрическая варочная поверхность LEX EVI 320-2 BLACK;Lex;Варочные панели электрические;14 990;10 718;0;10;10
110007379;;4620016721278;;EVI 320 BLACK;Электрическая варочная поверхность LEX EVI 320 BLACK;Lex;Варочные панели электрические;12 990;10 717;0;10;10
110007387;;4620016727362;;EVI 640-2 WH;Электрическая варочная поверхность LEX EVI 640-2 WH;Lex;Варочные панели электрические;;;0;0;0
110007382;;4620016728741;;EVI 430 IV;Электрическая варочная поверхность LEX EVI 430 IV;Lex;Варочные панели электрические;33 990;24 303;0;10;10
110007389;;4620016727157;;EVS 320 IX;Электрическая варочная поверхность LEX EVS 320 IX;Lex;Варочные панели электрические;;;0;0;0
110007381;;4620016724576;;EVI 430 BLACK;Электрическая варочная поверхность LEX EVI 430 BLACK;Lex;Варочные панели электрические;23 990;17 153;0;10;10
110010987;;;;EVH 320-0 BL;Электрическая варочная поверхность LEX EVH 320-0 BL;Lex;Варочные панели электрические;10 990;7 858;0;10;10
110007383;;4620016727355;;EVI 430 WH;Электрическая варочная поверхность LEX EVI 430 WH;Lex;Варочные панели электрические;;;0;0;0
110018031;;;;;Электрическая варочная панель Lex EVH 321 BL;Lex;Варочные панели электрические;;;0;0;0
110007386;;4620016727942;;EVI 640-2 IV;Электрическая варочная поверхность LEX EVI 640-2 IV;Lex;Варочные панели электрические;43 990;31 453;0;10;10
110007384;;4620016722633;;EVI 640-1 BLACK;Электрическая варочная поверхность LEX EVI 640-1 BLACK;Lex;Варочные панели электрические;22 990;18 967;0;10;10
110007388;;4620016726860;;EVI F 320 BL;Электрическая варочная поверхность LEX EVI F 320 BL;Lex;Варочные панели электрические;17 990;14 842;0;10;10
110007385;;4620016726877;;EVI 640-2 BL;Электрическая варочная поверхность LEX EVI 640-2 BL;Lex;Варочные панели электрические;26 990;19 298;0;10;10
110010969;;;;EVS 640 IX;Электрическая варочная поверхность LEX EVS 640 IX;Lex;Варочные панели электрические;;;0;0;0
110000040;;4620016722886;;EVH 641 BL;Cтеклокерамическая панель Lex EVH 641 BL;Lex;Варочные панели электрические;17 990;12 863;0;10;10
110010966;;4620016724590;;EVI 640 F BL;Индукционная варочная панель LEX EVI 640 F BL, черный;Lex;Варочные панели электрические;30 990;25 567;0;10;10
110018030;;;;;Электрическая варочная панель Lex EVH 640 BL;Lex;Варочные панели электрические;;;0;0;0
110032211;;4620016727997;;WFS 61001 WH;Стиральная машина Lex WFS 61001 WH;Lex;Стиральные машины;32 390;23 159;0;0;0
110032213;;;;WFS 71202 WH;Стиральная машина LEX WFS 71202 WH;Lex;Стиральные машины;38 390;27 449;0;0;0
110032212;;4620016727980;;WFS 61002 WH;Стиральная машина Lex WFS 61002 WH;Lex;Стиральные машины;35 990;25 733;0;0;0
110036531;;4620016729038;;LXMX 4101 красный;Миксер планетарный LEX LXMX 4101 красный;Lex;Блендеры;;;0;0;0
110036558;;;;LXMX 4102 графитовый;Миксер планетарный LEX LXMX 4102 графитовый;Lex;Блендеры;;;0;0;0
110036532;;4620016729069;;LXMX 4104 графитовый;Миксер планетарный LEX LXMX 4104 графитовый;Lex;Блендеры;;;0;0;0
110036559;;;;LXMX 4103 красный;Миксер планетарный LEX LXMX 4103 красный;Lex;Блендеры;;;0;0;0
110011595;;;;LX 1001-1;LEX LX 1001-1, блендер ручной (черный);Lex;Блендеры;;;0;0;0
110011596;;;;LX 1001-2;LEX LX 1001-2, блендер ручной (серый);Lex;Блендеры;;;0;0;0
110032151;;4620016725443;;MIKA C 600 WHITE;Вытяжка Lex Mika c 600 white;Lex;Встраиваемые вытяжки;12 690;9 074;0;4;4
110000736;;;;ANCONA 600 ivory;Вытяжка Lex ANCONA 600 ivory;Lex;Встраиваемые вытяжки;32 990;23 588;0;4;4
110036496;;4620090861051;;BRIZ 500 INOX;Купольная кухонная вытяжка LEX BRIZ 500 INOX;Lex;Встраиваемые вытяжки;8 990;;0;10;10
110017484;;;;GHOST 600 BLACK;Встраиваемая кухонная вытяжка LEX GHOST 600 BLACK;Lex;Встраиваемые вытяжки;8 990;7 417;0;10;10
110032152;;4620016726761;;MIKA G 600 IVORY LIGHT (белый антик);Вытяжка Lex MIKA G 600 Ivory light;Lex;Встраиваемые вытяжки;15 990;11 433;0;0;0
110000737;;;;ANCONA 900 white;Вытяжка Lex ANCONA 900 white;Lex;Встраиваемые вытяжки;37 990;27 163;0;2;2
110036497;;4620090861082;;BRIZ 600 INOX;Купольная кухонная вытяжка LEX BRIZ 600 INOX;Lex;Встраиваемые вытяжки;8 990;;0;10;10
110017839;;;;L1 (Touch),( GS BLOC P) (2 шт. в компл.);LEX Фильтр угольный L1 (Touch),( GS BLOC P) (2 шт. в компл.);Lex;Встраиваемые вытяжки;2 990;2 138;0;10;10
110032162;;4620090860412;;MIRA G 600 WHITE;Вытяжка Lex MIRA G 600 WHITE;Lex;Встраиваемые вытяжки;14 990;10 718;0;10;10
110000749;;4620016722220;;MINI S 600 INOX;Наклонная кухонная вытяжка LEX MINI S 600 INOX;Lex;Встраиваемые вытяжки;;;0;0;0
110032098;;4620090860337;;GHOST 600 WHITE;Вытяжка Lex GHOST 600 WHITE;Lex;Встраиваемые вытяжки;8 990;7 417;0;10;10
110030126;;;;;Вытяжка LEX MIKA G 600 BLACK;Lex;Встраиваемые вытяжки;12 990;9 288;0;0;0
110032167;;4620016727669;;TOUCH 600 IVORY;Вытяжка Lex TOUCH 600 IVORY;Lex;Встраиваемые вытяжки;18 990;13 578;0;4;4
110000750;;;;PALERMO 900 white;Вытяжка Lex PALERMO 900 white;Lex;Встраиваемые вытяжки;47 990;34 313;0;1;1
110032100;;4620090860450;;GHOST G 600 IVORY LIGHT;Вытяжка Lex GHOST G 600 IVORY LIGHT;Lex;Встраиваемые вытяжки;10 990;9 067;0;10;10
110032099;;4620090860443;;GHOST G 600 BLACK;Вытяжка Lex GHOST G 600 BLACK;Lex;Встраиваемые вытяжки;9 990;8 242;6;10;16
110032168;;4620016726778;;TOUCH 600 IVORY LIGHT (белый антик);Вытяжка Lex TOUCH 600 ivory light;Lex;Встраиваемые вытяжки;18 990;13 578;0;8;8
110000751;;4620016720110;;PARIS N 600 INOX;Вытяжка Lex PARIS N 600 inox;Lex;Встраиваемые вытяжки;;;0;0;0
110032102;;4620016725092;;GS BLOC P 600 BLACK;Вытяжка Lex GS BLOC P 600 BLACK;Lex;Встраиваемые вытяжки;14 990;10 718;0;10;10
110032101;;4620090860467;;GHOST G 600 WHITE;Вытяжка Lex GHOST G 600 WHITE;Lex;Встраиваемые вытяжки;9 990;8 242;0;10;10
110032169;;4620016721056;;TUBO 350;Вытяжка Lex TUBO 350;Lex;Встраиваемые вытяжки;43 290;30 953;0;0;0
110000752;;4620016723722;;PLAZA 600 BLACK;Наклонная кухонная вытяжка LEX PLAZA 600 BLACK;Lex;Встраиваемые вытяжки;;;0;0;0
110032106;;4620016725160;;GS BLOC P 900 WHITE;Вытяжка Lex GS BLOC P 900 WHITE;Lex;Встраиваемые вытяжки;15 990;11 433;0;0;0
110032103;;4620016725108;;GS BLOC P 600 IVORY;Вытяжка Lex GS BLOC P 600 IVORY;Lex;Встраиваемые вытяжки;14 990;10 718;0;10;10
110032172;;4620016723302;;TUBO QUATTRO ISOLA;Вытяжка LEX TUBO QUATTRO ISOLA 350 INOX;Lex;Встраиваемые вытяжки;31 190;22 301;0;0;0
110000863;;4620016725474;;LUKA 600 WHITE;Наклонная кухонная вытяжка LEX LUKA 600 WHITE;Lex;Встраиваемые вытяжки;;;0;0;0
110032108;;4620016729946;;HONVER 2M 600 INOX;Вытяжка Lex HONVER 2M 600 INOX;Lex;Встраиваемые вытяжки;9 990;8 242;0;10;10
110032105;;4620016725153;;GS BLOC P 900 IVORY;Вытяжка Lex GS BLOC P 900 IVORY;Lex;Встраиваемые вытяжки;16 990;12 148;0;8;8
110032173;;4620016721438;;TUBO ISOLA 350;Вытяжка Lex Tubo Isola 350 inox;Lex;Встраиваемые вытяжки;53 990;38 603;0;3;3
110000865;;4620016725368;;MIKA 600 WHITE;Наклонная кухонная вытяжка LEX MIKA 600 WHITE;Lex;Встраиваемые вытяжки;11 990;8 573;0;10;10
110032113;;4620016729991;;HONVER 600 BLACK;Вытяжка Lex HONVER 600 BLACK;Lex;Встраиваемые вытяжки;6 990;5 767;0;0;0
110032107;;4620016729939;;HONVER 2M 600 BLACK;Вытяжка Lex HONVER 2M 600 BLACK;Lex;Встраиваемые вытяжки;8 990;7 417;0;0;0
110032174;;4620016723067;;ANCONA 600 WHITE;Вытяжка Lex ANCONA 600 White;Lex;Встраиваемые вытяжки;32 990;23 588;0;5;5
110004321;;4620016727645;;MIKA G 600 IVORY;Вытяжка Lex MIKA G 600 IVORY;Lex;Встраиваемые вытяжки;15 990;11 433;0;10;10
110032117;;4620090860054;;HONVER G 500 BLACK;Вытяжка Lex HONVER G 500 BLACK;Lex;Встраиваемые вытяжки;9 990;8 242;0;10;10
110032114;;4620090860016;;HONVER 600 INOX;Вытяжка Lex HONVER 600 INOX;Lex;Встраиваемые вытяжки;6 990;5 767;0;10;10
110032180;;4620016723104;;PALERMO 600 WHITE;Вытяжка Lex PALERMO 600 White;Lex;Встраиваемые вытяжки;41 990;30 023;0;0;0
110007266;;4620016722800;;GLASS 600 BLACK;Наклонная кухонная вытяжка LEX GLASS 600 BLACK;Lex;Встраиваемые вытяжки;;;0;0;0
110032120;;4620090860085;;HONVER G 600 WHITE;Вытяжка Lex HONVER G 600 WHITE;Lex;Встраиваемые вытяжки;6 990;5 767;0;10;10
110032119;;4620090860061;;HONVER G 600 BLACK;Вытяжка Lex HONVER G 600 BLACK;Lex;Встраиваемые вытяжки;6 990;5 767;0;0;0
110032181;;4620016723609;;PALERMO 600 IVORY;Вытяжка Lex PALERMO 600 IVORY;Lex;Встраиваемые вытяжки;41 990;30 023;0;0;0
110007267;;4620016724996;;LEILA 600 BLACK;Наклонная кухонная вытяжка LEX LEILA 600 BLACK;Lex;Встраиваемые вытяжки;;;0;0;0
110032122;;4620016724552;;HUBBLE G 2M 600 IVORY;Вытяжка Lex Hubble G 2m 600 ivory;Lex;Встраиваемые вытяжки;11 990;8 573;0;10;10
110032125;;4620016724514;;HUBBLE 2M 600 RAW WOOD;Вытяжка Lex HUBBLE 2M 600 RAW WOOD;Lex;Встраиваемые вытяжки;13 990;10 003;0;0;0
110032186;;4620016723142;;TORINO 600 WHITE;Вытяжка LEX TORINO 600 WHITE;Lex;Встраиваемые вытяжки;28 990;20 728;0;4;4
110007268;;4620016725009;;LEILA 600 IVORY;Наклонная кухонная вытяжка LEX LEILA 600 IVORY;Lex;Встраиваемые вытяжки;20 990;15 008;0;2;2
110032150;;4620090860238;;META GS 600 WHITE;Вытяжка Lex META GS 600 WHITE;Lex;Встраиваемые вытяжки;13 990;10 003;0;10;10
110032144;;4620016724613;;LUNA 600 IVORY;Вытяжка Lex LUNA 600 IVORY;Lex;Встраиваемые вытяжки;16 990;12 742;0;2;2
